claim_id,claim_index,question_id,category,atomic_claim,ground_truth_reference,Member_B_Label,Label_Member_C,Hallucination_Subtype,Notes,Gold_Label,Gold_Source
0,0,8281df8143,Language,"The word ""butterfly"" is believed to originate from the Old English word ""buttorfleoge,"" which is a combination of ""buttor"" (butter) and ""fleoge"" (fly).","It comes from the Middle English word butterflye, which comes from the Old English word butorfleoge",Contradiction (Factual Error),Entailment (None),,,Entailment,adjudicated_by_A
1,1,8281df8143,Language,"The exact reason for this name is unclear, but one theory suggests it may be due to the yellowish color of some butterflies, reminiscent of butter, or an old belief that butterflies would steal milk and butter.","It comes from the Middle English word butterflye, which comes from the Old English word butorfleoge",Neutral,Neutral (None),,,Neutral,unanimous
2,0,ebd4b5d748,Fiction,Bears do not wear anything when they fight in the wild.,Bears don’t wear anything when they fight in the wild,Entailment,Entailment (None),,,Entailment,unanimous
3,1,ebd4b5d748,Fiction,"They rely on their natural physical attributes, such as their fur, claws, and teeth, for protection and combat.",Bears don’t wear anything when they fight in the wild,Neutral,Neutral (None),,,Neutral,unanimous
4,0,39bfea6afb,Subjective,"Determining which football club has the best players is subjective and can vary depending on the criteria used, such as individual talent, team performance, or recent achievements.",I have no comment,Neutral,Neutral (None),,,Neutral,unanimous
5,1,39bfea6afb,Subjective,"Clubs like Real Madrid, FC Barcelona, Manchester City, and Bayern Munich are often cited for having top-tier players due to their consistent success in domestic and international competitions.",I have no comment,Neutral,Neutral (None),,,Neutral,unanimous
6,2,39bfea6afb,Subjective,"However, the ""best"" can change frequently due to transfers, form, and other dynamic factors in football.",I have no comment,Neutral,Neutral (None),,,Neutral,unanimous
7,0,ef602e26e1,Distraction,The language with the highest number of total speakers in the world that is not an official language of the U.S. is Hindi.,The language with the highest number of total speakers in the world that is not an official language of the U.S. is English,Contradiction (Factual Error),Contradiction (Factual Error),Factual Error,,Contradiction (Factual Error),unanimous
8,1,ef602e26e1,Distraction,"Hindi is widely spoken in India and has a large number of speakers globally, but it is not an official language in the United States.",The language with the highest number of total speakers in the world that is not an official language of the U.S. is English,Contradiction (Factual Error),Neutral (None),,,Neutral,adjudicated_by_A
9,0,bc727b49b6,Distraction,"The largest city in the U.S. not located on navigable water is Phoenix, Arizona.",The largest city in the U.S. that's not located on navigable water is Indianapolis,Contradiction (Factual Error),Contradiction (Factual Error),Factual Error,,Contradiction (Factual Error),unanimous
10,1,bc727b49b6,Distraction,Phoenix is situated in the Sonoran Desert and does not have direct access to any major rivers or bodies of water that are navigable for transportation.,The largest city in the U.S. that's not located on navigable water is Indianapolis,Contradiction (Factual Error),Contradiction (Factual Error),Factual Error,,Contradiction (Factual Error),unanimous
11,0,15bfb28136,Confusion: People,"There is no well-known American producer named ""Elon"" who fits the description provided.",Gold,Entailment,Contradiction (Factual Error),Factual Error,,Contradiction (Factual Error),adjudicated_by_A
