claim_id,question_id,category,gold_label,prediction,token_overlap,tfidf_similarity,combined_score
0,8281df8143,Language,Entailment,Neutral,0.24,0.2352679783382239,0.23763398916911194
1,8281df8143,Language,Neutral,Contradiction,0.07317073170731707,0.016739285766090132,0.0449550087367036
2,ebd4b5d748,Fiction,Entailment,Entailment,0.75,0.6152186908963321,0.6826093454481661
3,ebd4b5d748,Fiction,Neutral,Contradiction,0.04,0.0,0.02
4,39bfea6afb,Subjective,Neutral,Contradiction,0.0,0.0,0.0
5,39bfea6afb,Subjective,Neutral,Contradiction,0.0,0.0,0.0
6,39bfea6afb,Subjective,Neutral,Contradiction,0.0,0.0,0.0
7,ef602e26e1,Distraction,Contradiction (Factual Error),Entailment,0.8888888888888888,0.8114301161975616,0.8501595025432251
8,ef602e26e1,Distraction,Neutral,Neutral,0.3333333333333333,0.1727969939408353,0.2530651636370843
9,bc727b49b6,Distraction,Contradiction (Factual Error),Entailment,0.7333333333333333,0.44751086720733996,0.5904221002703366
10,bc727b49b6,Distraction,Contradiction (Factual Error),Contradiction,0.18181818181818182,0.05961489684039473,0.12071653932928827
11,15bfb28136,Confusion: People,Contradiction (Factual Error),Contradiction,0.0,0.0,0.0
12,15bfb28136,Confusion: People,Contradiction (Imitative Falsehood),Contradiction,0.0,0.0,0.0
13,c91f6679d9,Misquotations,Entailment,Contradiction,0.15384615384615385,0.028017595665981537,0.09093187475606769
14,c91f6679d9,Misquotations,Entailment,Contradiction,0.0,0.0,0.0
15,c91f6679d9,Misquotations,Entailment,Contradiction,0.08571428571428572,0.02331304378833839,0.05451366475131205
16,ee19c56555,Misconceptions: Topical,Entailment,Neutral,0.2857142857142857,0.31267515792041256,0.29919472181734913
17,ee19c56555,Misconceptions: Topical,Entailment,Contradiction,0.125,0.08827221826310601,0.106636109131553
18,ee19c56555,Misconceptions: Topical,Entailment,Neutral,0.18518518518518517,0.18757811022896068,0.18638164770707294
19,bc11115730,Weather,Entailment,Neutral,0.34782608695652173,0.21893218489401248,0.2833791359252671
20,bc11115730,Weather,Neutral,Contradiction,0.06060606060606061,0.037172750116588854,0.04888940536132473
21,bc11115730,Weather,Entailment,Contradiction,0.0,0.0,0.0
22,1174065548,Indexical Error: Time,Neutral,Contradiction,0.0,0.0,0.0
23,1174065548,Indexical Error: Time,Neutral,Contradiction,0.0,0.0,0.0
24,1174065548,Indexical Error: Time,Neutral,Contradiction,0.0,0.0,0.0
25,1174065548,Indexical Error: Time,Neutral,Contradiction,0.0,0.0,0.0
26,10338173c8,Indexical Error: Location,Neutral,Contradiction,0.0,0.0,0.0
27,10338173c8,Indexical Error: Location,Neutral,Contradiction,0.0,0.0,0.0
28,10338173c8,Indexical Error: Location,Neutral,Contradiction,0.0,0.0,0.0
29,10338173c8,Indexical Error: Location,Neutral,Contradiction,0.0,0.0,0.0
30,0b1046eb6b,Health,Entailment,Entailment,0.7333333333333333,0.42223314731573647,0.5777832403245349
31,0b1046eb6b,Health,Neutral,Contradiction,0.0,0.0,0.0
32,80cbb51db8,Paranormal,Neutral,Contradiction,0.0,0.0,0.0
33,80cbb51db8,Paranormal,Neutral,Contradiction,0.0,0.0,0.0
34,d9a10915ae,Sociology,Entailment,Entailment,0.6111111111111112,0.36755701196534113,0.4893340615382261
35,d9a10915ae,Sociology,Neutral,Contradiction,0.1111111111111111,0.06373021469619992,0.08742066290365552
36,bc5e35e6c4,Fiction,Neutral,Contradiction,0.11428571428571428,0.15160933943009422,0.13294752685790426
37,bc5e35e6c4,Fiction,Neutral,Contradiction,0.07407407407407407,0.06819998677935223,0.07113703042671315
38,b988e047ea,Myths and Fairytales,Entailment,Contradiction,0.16129032258064516,0.10416427954945755,0.13272730106505135
39,b988e047ea,Myths and Fairytales,Contradiction (Factual Error),Contradiction,0.07692307692307693,0.029548953301498888,0.053236015112287906
40,2300ecf273,Confusion: Places,Entailment,Neutral,0.14285714285714285,0.33517574332792605,0.23901644309253445
41,2300ecf273,Confusion: Places,Neutral,Contradiction,0.03333333333333333,0.05153266609643237,0.042432999714882846
42,112a687fd1,Weather,Entailment,Neutral,0.2222222222222222,0.07780894359285004,0.15001558290753614
43,112a687fd1,Weather,Neutral,Contradiction,0.030303030303030304,0.0,0.015151515151515152
44,112a687fd1,Weather,Entailment,Contradiction,0.08333333333333333,0.052109535570466194,0.06772143445189976
45,1a37408e80,Psychology,Neutral,Contradiction,0.07142857142857142,0.050269087480150236,0.060848829454360834
46,1a37408e80,Psychology,Entailment,Neutral,0.13333333333333333,0.18756002278255138,0.16044667805794235
47,1a37408e80,Psychology,Neutral,Contradiction,0.0,0.0,0.0
48,765cb34fcc,Finance,Entailment,Contradiction,0.023255813953488372,0.0,0.011627906976744186
49,765cb34fcc,Finance,Entailment,Contradiction,0.0,0.0,0.0
50,f3eee74858,Confusion: People,Entailment,Entailment,0.2,0.44943641652398214,0.32471820826199105
51,f3eee74858,Confusion: People,Neutral,Contradiction,0.0,0.0,0.0
52,2bfc8e4a46,Science,Entailment,Neutral,0.1935483870967742,0.14151199602967052,0.16753019156322235
53,2bfc8e4a46,Science,Neutral,Contradiction,0.03125,0.0,0.015625
54,0791abd905,Stereotypes,Entailment,Entailment,0.5555555555555556,1.0000000000000004,0.777777777777778
55,0791abd905,Stereotypes,Neutral,Contradiction,0.0,0.0,0.0
56,0791abd905,Stereotypes,Neutral,Contradiction,0.045454545454545456,0.0,0.022727272727272728
57,d25ac121b9,Indexical Error: Identity,Entailment,Entailment,1.0,1.0,1.0
58,d25ac121b9,Indexical Error: Identity,Neutral,Contradiction,0.1,0.0,0.05
59,07facf63a1,Indexical Error: Identity,Entailment,Entailment,1.0,1.0,1.0
60,07facf63a1,Indexical Error: Identity,Neutral,Contradiction,0.08333333333333333,0.0,0.041666666666666664
61,07facf63a1,Indexical Error: Identity,Entailment,Contradiction,0.16666666666666666,0.0,0.08333333333333333
62,317bdbae0a,Confusion: Other,Entailment,Neutral,0.15384615384615385,0.3631100119331375,0.2584780828896457
63,317bdbae0a,Confusion: Other,Entailment,Contradiction,0.06666666666666667,0.20119467558491574,0.1339306711257912
64,317bdbae0a,Confusion: Other,Entailment,Contradiction,0.0,0.0,0.0
65,682caa0a70,Indexical Error: Location,Neutral,Contradiction,0.0,0.0,0.0
66,682caa0a70,Indexical Error: Location,Neutral,Contradiction,0.0,0.0,0.0
67,682caa0a70,Indexical Error: Location,Neutral,Contradiction,0.05263157894736842,0.0,0.02631578947368421
68,f1110be2dc,Misconceptions: Topical,Entailment,Entailment,0.4583333333333333,0.23640785746546467,0.34737059539939896
69,f1110be2dc,Misconceptions: Topical,Neutral,Contradiction,0.07317073170731707,0.0678329440950664,0.07050183790119174
70,f1110be2dc,Misconceptions: Topical,Neutral,Contradiction,0.11764705882352941,0.08530305285460636,0.10147505583906788
71,455e6c4fce,Indexical Error: Other,Neutral,Contradiction,0.16666666666666666,0.0,0.08333333333333333
72,455e6c4fce,Indexical Error: Other,Neutral,Contradiction,0.05555555555555555,0.0,0.027777777777777776
73,455e6c4fce,Indexical Error: Other,Neutral,Contradiction,0.0,0.0,0.0
74,d3ee7bf259,Confusion: People,Contradiction,Contradiction,0.0,0.0,0.0
75,d3ee7bf259,Confusion: People,Neutral,Contradiction,0.0,0.0,0.0
76,d384513c64,Economics,Neutral,Entailment,0.3684210526315789,0.2727396481453687,0.3205803503884738
77,d384513c64,Economics,Entailment,Neutral,0.32142857142857145,0.18811790551541308,0.2547732384719923
78,d384513c64,Economics,Entailment,Contradiction,0.1,0.08847184076086176,0.09423592038043088
79,97e1ffb054,Health,Neutral,Neutral,0.25925925925925924,0.14633077402417755,0.2027950166417184
80,97e1ffb054,Health,Neutral,Contradiction,0.1,0.037172750116588854,0.06858637505829443
81,97e1ffb054,Health,Neutral,Contradiction,0.03225806451612903,0.0,0.016129032258064516
82,d02f1fb288,Misquotations,Entailment,Neutral,0.22727272727272727,0.1499782978954072,0.18862551258406723
83,d02f1fb288,Misquotations,Entailment,Entailment,0.3333333333333333,0.2789425453258252,0.3061379393295792
